"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","regulation"
"152503",1601.80214369168,-0.453117667439083,0.0672239742687159,-6.74041772103246,1.57931918638139e-11,4.87211932827117e-11,"SH3D19","NS"
"8519",1463.48221650912,-0.677758723581586,0.100558103375212,-6.73997122889907,1.58417997534028e-11,4.88659114501386e-11,"IFITM1","NS"
"3047",1.29339340325511,-1.8585560963049,0.275846113897842,-6.73765553569918,1.60962603167856e-11,4.96455076151645e-11,"HBG1","Down"
"100126351",66.4932011506811,0.649868907477134,0.0964553737888783,6.73750856950249,1.61125441236862e-11,4.96904096887892e-11,"MIR939","NS"
"23291",710.153247352708,0.333658267392648,0.049531567447867,6.73627515914634,1.6249842922066e-11,5.01084673380078e-11,"FBXW11","NS"
"23042",3035.86862243654,-0.353621558788065,0.0524954660487227,-6.73623048626442,1.62548371862529e-11,5.01185012087486e-11,"PDXDC1","NS"
"204801",27.8095490510741,1.13695279186474,0.168844443384985,6.73372939654494,1.65368606985861e-11,5.09826051169984e-11,"NLRP11","Up"
"101927972",19.1830535221732,-1.19573718114879,0.177621241418765,-6.73194923984168,1.67405049020406e-11,5.16049090311459e-11,"FARS2-AS1","Down"
"107985740",5.31171936783736,1.21136664947095,0.179954483704101,6.73151690659068,1.67903318743548e-11,5.17529677103359e-11,"LINC02811","Up"
"107985013",33.3900530160784,0.403105222365062,0.0598885278144273,6.73092555579489,1.68587210733472e-11,5.19582030683060e-11,"LOC107985013","NS"
"107986622",0.969207011738056,1.71092227316303,0.254233306778037,6.72973299543625,1.69974703954506e-11,5.23802196306246e-11,NA,"Up"
"165324",267.189640979193,0.281221022220398,0.0417881762272557,6.72967924445996,1.70037503584563e-11,5.23939656347983e-11,"UBXN2A","NS"
"4736",4285.65018262319,0.432427489132623,0.0642599069738699,6.72935130933915,1.70421137069756e-11,5.25065572411985e-11,"RPL10A","NS"
"100129540",4.07774431584456,1.25834059504139,0.186995038672966,6.72927262654326,1.70513309801486e-11,5.25293356403851e-11,"LOC100129540","Up"
"4575",224.862349850839,-0.871577992981271,0.129533724564375,-6.72857972634081,1.71327116364247e-11,5.27743961606329e-11,"MT-TS2","NS"
"55843",200.582290543161,-0.710646042235496,0.105617521290177,-6.72848627343792,1.71437166828347e-11,5.2802647383131e-11,"ARHGAP15","NS"
"5783",155.870236603346,-0.986457024288147,0.146622436594465,-6.72787226293705,1.72161951184381e-11,5.30202103540564e-11,"PTPN13","NS"
"150221",5.68263264769639,0.706517116763357,0.10502752706658,6.72697088559915,1.73231384874262e-11,5.33438560907721e-11,"RIMBP3C","NS"
"105377209",1.69147208236094,2.25445748734311,0.335155646310045,6.72659855850247,1.73675026126136e-11,5.34747503729333e-11,"LOC105377209","Up"
"54949",398.337237699413,0.265143165094306,0.0394217003700691,6.72581757268938,1.74609216473443e-11,5.37566411802675e-11,"SDHAF2","NS"
"106478956",88.5276340278883,0.475923853622306,0.0707624570286446,6.72565472719033,1.74804626126438e-11,5.38110488849723e-11,"MDC1-AS1","NS"
"9965",64.8619207843745,2.42297993862126,0.36031876687554,6.72454548962807,1.76141386438476e-11,5.42167555221809e-11,"FGF19","Up"
"11092",42.775525858637,0.520754549675364,0.0774440920061398,6.72426438461024,1.76481737347986e-11,5.43157109345657e-11,"SPACA9","NS"
"9045",5163.88069182159,0.420715356198996,0.062575660238739,6.72330670733445,1.77646096442269e-11,5.46682227542686e-11,"RPL14","NS"
"105372773",4.56461452059862,4.61548580079574,0.686595783656358,6.72227518819981,1.78908648451408e-11,5.50508735773443e-11,"LOC105372773","Up"
"594840",11.5227727373639,0.552891160682492,0.0822507601134165,6.72201885940147,1.79223748556537e-11,5.51419392193498e-11,"ZFAT-AS1","NS"
"407012",7.21232476155049,-0.738495454504601,0.109920882489599,-6.71842727040039,1.83696389347973e-11,5.65120032095174e-11,"MIR24-1","NS"
"9183",268.02923645531,0.30002960614206,0.0446656839904951,6.71722851498045,1.85213397827751e-11,5.69726066080279e-11,"ZW10","NS"
"54875",757.10619529894,-0.504247788892291,0.075076061280905,-6.71649231844483,1.86151117230381e-11,5.7254938310376e-11,"CNTLN","NS"
"339862",8.14059953598668,2.46540545090257,0.367082458212151,6.71621701268469,1.86502976767895e-11,5.73570346535866e-11,"BALR6","Up"
"55278",280.158719281271,0.276274776224084,0.0411391161678326,6.71562255000773,1.87264963318621e-11,5.75852259866486e-11,"QRSL1","NS"
"60672",356.367463164813,0.458525299162383,0.0682919560656152,6.71419191334672,1.89111281225122e-11,5.81467721195927e-11,"MIIP","NS"
"107986251",11.2706164640092,1.39534570946579,0.207824761737716,6.71404936446784,1.89296222175741e-11,5.81974229338847e-11,"LINC02600","Up"
"728586",11.3874950678524,0.886260197469315,0.132011535109891,6.71350573062848,1.90003152119727e-11,5.84085266304856e-11,"CCDC192","NS"
"375033",226.901277112176,-0.59684681794915,0.0889040080309537,-6.71338481996611,1.90160732836962e-11,5.84507288316664e-11,"PEAR1","NS"
"285600",109.480907367059,-0.599153772251256,0.0892481845850342,-6.71334408690848,1.90213848317835e-11,5.84608154093597e-11,"KIAA0825","NS"
"56302",2.90852075648427,1.6007501475574,0.238461493874458,6.71282445458526,1.90892719471591e-11,5.86632006759456e-11,"TRPV5","Up"
"25803",4.55482334975248,1.53969594404017,0.229387043513386,6.71221844293191,1.91687437497461e-11,5.89011398319664e-11,"SPDEF","Up"
"3021",3889.81754663312,0.366776866848602,0.0546465798591053,6.71179912437812,1.92239223252891e-11,5.90643886827777e-11,"H3-3B","NS"
"122809",300.992412285417,0.329898058018765,0.049157807090994,6.71100029763542,1.93294714724669e-11,5.93823468598358e-11,"SOCS4","NS"
"6441",22.8046620444526,-0.995737647558697,0.148376130116933,-6.71090185984748,1.93425172831989e-11,5.94160866903e-11,"SFTPD","NS"
"357",319.809035406283,-0.67333251084395,0.100335323290281,-6.7108221587718,1.93530862613867e-11,5.94422118339817e-11,"SHROOM2","NS"
"100287467",32.1695875116219,-0.701934275873913,0.104614820827611,-6.70970203190039,1.95022232585954e-11,5.98938920124805e-11,"LOC100287467","NS"
"51564",717.007612845094,0.545028217191321,0.0812350576419601,6.70927347147963,1.95595801849384e-11,6.00636372537701e-11,"HDAC7","NS"
"83930",201.790442047126,0.444722624879906,0.066293319552734,6.70840784381214,1.96759367419874e-11,6.04145032834794e-11,"STARD3NL","NS"
"23189",2834.52141855513,-0.471962773822781,0.0703616878950816,-6.70766702650082,1.97760544352079e-11,6.07154387660039e-11,"KANK1","NS"
"112268027",9.16981651037027,-1.21386967897032,0.180971343283802,-6.7075242795027,1.97954032007071e-11,6.07683638603520e-11,"LOC112268027","Down"
"91351",623.263215049103,-0.515743317711333,0.0768947294014333,-6.70713482869373,1.98482859641654e-11,6.09242101040328e-11,"DDX60L","NS"
"54497",842.28267183537,-0.330182037097053,0.049229243227364,-6.70703052598465,1.98624724926998e-11,6.09612578967036e-11,"HEATR5B","NS"
"105370208",2.14576288915026,1.40175702135748,0.20901788415094,6.70639752694663,1.99487818141643e-11,6.12196311470912e-11,"LINC00345","Up"
"126119",245.195217320757,0.478112763074315,0.0713168222733824,6.7040671167532,2.02697088409836e-11,6.21978769528659e-11,"JOSD2","NS"
"101927070",8.49931539067317,1.05855360907069,0.157932213127262,6.70258200091011,2.04768595328224e-11,6.2826827277458e-11,"LINC02611","Up"
"6692",244.835671617744,1.23942755263235,0.184961598349426,6.7009993625317,2.06998944837197e-11,6.3504374277422e-11,"SPINT1","Up"
"23197",758.971331732714,0.252808567816798,0.0377280334150749,6.7008148830727,2.07260467156083e-11,6.35778326923825e-11,"FAF2","NS"
"377",1335.80435000986,0.349244575635238,0.0521208692680193,6.70066674903923,2.07470699510967e-11,6.36355437694838e-11,"ARF3","NS"
